Date,Year,Hardware Weighted Ave Energy Efficiency (J/GH),1 Month MA of Efficiency (J/GH),HR (GH/s),Energy-In (W),Price ($),Circulating BTC (Stock),Flow,S2F,SF Model ($),Supply Growth Rate (1/s),Energy Value ($),Energy Value Residuals,Barssince,Est. Energy Efficiency (2015-),Est. Energy Value,Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/2008,2008,17094.28041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2008,2008,17094.28041,,,,,,,,,,,,,,,,,Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/2008,2008,17094.28041,,,,,,,,,,,,,,,,,Lost Coins,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/24/2008,2008,17094.28041,,,,,,,,,,,,,,,,,Fiat Factor ($/J),2.0E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/2008,2008,17094.28041,,,,,,,,,,,,,,,,,Seconds per year,3.2E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/2008,2008,17094.28041,,,,,,,,,,,,,,,,,Eff Exp: a,34.93763767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27/2008,2008,17094.28041,,,,,,,,,,,,,,,,,Eff Exp: b,-0.0016277906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/2008,2008,17094.28041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/2008,2008,17094.28041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/2008,2008,17094.28041,,,,,,,,,,,,,,,,,CHARTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2008,2008,17094.28041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRADING VIEW INPUTS,,,,,,
1/1/2009,2009,17094.28041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2009,2009,17094.28041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2009,2009,17094.28041,,,,,  50 ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Historic Monthly Data,,,,Trailing Weekly Data,,
1/4/2009,2009,17094.28041,,,,,  50 ,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2009,2009,17094.28041,,,,,  50 ,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monthly Dates,Energy Efficiency (J/GH),Pinescript,,Monthly Dates,Energy Efficiency (J/GH),Pinescript
1/6/2009,2009,17094.28041,,,,,  50 ,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jan-11,7946.832209,e := d==15 and m==1 and y==2011? 7946.83220938736 :,,22-Jun-19,0.0891875, d==22 and m==6 and y==2019? 0.0891875 :
1/7/2009,2009,16430.73041,,,,,  50 ,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-11,7919.418392, d==15 and m==2 and y==2011? 7919.41839243041 :,,29-Jun-19,0.08884722222, d==29 and m==6 and y==2019? 0.0888472222222222 :
1/8/2009,2009,16430.73041,,,,,  50 ,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-11,7632.983441, d==15 and m==3 and y==2011? 7632.98344069555 :,,6-Jul-19,0.08769923984, d==6 and m==7 and y==2019? 0.0876992398408638 :
1/9/2009,2009,16430.73041,,,,,  750 ,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-11,7481.773692, d==15 and m==4 and y==2011? 7481.77369210883 :,,13-Jul-19,0.08595025433, d==13 and m==7 and y==2019? 0.0859502543336175 :
1/10/2009,2009,16430.73041,,,,,  750 ,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-May-11,7235.836295, d==15 and m==5 and y==2011? 7235.83629484419 :,,20-Jul-19,0.08420126883, d==20 and m==7 and y==2019? 0.0842012688263711 :
1/11/2009,2009,16430.73041,,,,,  750 ,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jun-11,7004.395819, d==15 and m==6 and y==2011? 7004.3958189483 :,,27-Jul-19,0.08245228332, d==27 and m==7 and y==2019? 0.0824522833191248 :
1/12/2009,2009,16430.73041,,,,,"  12,050 ",,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jul-11,7424.806539, d==15 and m==7 and y==2011? 7424.80653864183 :,,3-Aug-19,0.0811829348, d==3 and m==8 and y==2019? 0.0811829347983412 :
1/13/2009,2009,16430.73041,,,,,"  12,050 ",,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Aug-11,7424.806539, d==15 and m==8 and y==2011? 7424.80653864183 :,,10-Aug-19,0.08086096286, d==10 and m==8 and y==2019? 0.0808609628587791 :
1/14/2009,2009,16430.73041,,,,,"  12,050 ",,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Sep-11,6376.128073, d==15 and m==9 and y==2011? 6376.1280731424 :,,17-Aug-19,0.08053899092, d==17 and m==8 and y==2019? 0.0805389909192169 :
1/15/2009,2009,16430.73041,,,,,"  30,450 ",,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Oct-11,5194.955157, d==15 and m==10 and y==2011? 5194.95515659859 :,,24-Aug-19,0.08021701898, d==24 and m==8 and y==2019? 0.0802170189796548 :
1/16/2009,2009,16430.73041,,,,,"  30,450 ",,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Nov-11,4638.227329, d==15 and m==11 and y==2011? 4638.22732855883 :,,31-Aug-19,0.07970226847, d==31 and m==8 and y==2019? 0.0797022684742928 :
1/17/2009,2009,16430.73041,,,,,"  30,450 ",,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Dec-11,4726.695536, d==15 and m==12 and y==2011? 4726.69553622754 :,,7-Sep-19,0.07792499773, d==7 and m==9 and y==2019? 0.0779249977286423 :
1/18/2009,2009,16430.73041,,,,,"  46,700 ",,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jan-12,4804.105218, d==15 and m==1 and y==2012? 4804.10521793766 :,,14-Sep-19,0.0761004323, d==14 and m==9 and y==2019? 0.0761004322996338 :
1/19/2009,2009,16430.73041,,,,,"  46,700 ",,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-12,4016.556425, d==15 and m==2 and y==2012? 4016.5564250286 :,,21-Sep-19,0.07427586687, d==21 and m==9 and y==2019? 0.0742758668706253 :
1/20/2009,2009,16430.73041,,,,,"  46,700 ",,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-12,3158.625956, d==15 and m==3 and y==2012? 3158.62595648445 :,,28-Sep-19,0.07245130144, d==28 and m==9 and y==2019? 0.0724513014416169 :
1/21/2009,2009,16430.73041,16762.50541,0.005617260468,94.15935899,0.00,"  64,100 ",,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-12,2803.239906, d==15 and m==4 and y==2012? 2803.23990550415 :,,5-Oct-19,0.07193282646, d==5 and m==10 and y==2019? 0.0719328264639189 :
1/22/2009,2009,16430.73041,16740.38708,0.005617260468,94.03511455,0.00,"  64,100 ",,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-May-12,2730.114452, d==15 and m==5 and y==2012? 2730.11445159239 :,,12-Oct-19,0.07176192077, d==12 and m==10 and y==2019? 0.0717619207683073 :
1/23/2009,2009,16430.73041,16718.26874,0.005617260468,93.91087011,0.00,"  64,100 ",,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jun-12,2725.355462, d==15 and m==6 and y==2012? 2725.35546233546 :,,19-Oct-19,0.07159101507, d==19 and m==10 and y==2019? 0.0715910150726958 :
1/24/2009,2009,16430.73041,16696.15041,0.009892343656,165.1640576,0.00,"  81,150 ",,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jul-12,2725.355462, d==15 and m==7 and y==2012? 2725.35546233546 :,,26-Oct-19,0.07142010938, d==26 and m==10 and y==2019? 0.0714201093770842 :
1/25/2009,2009,16430.73041,16674.03208,0.009892343656,164.9452554,0.00,"  81,150 ",,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Aug-12,2725.355462, d==15 and m==8 and y==2012? 2725.35546233546 :,,2-Nov-19,0.07093666873, d==2 and m==11 and y==2019? 0.0709366687280973 :
1/26/2009,2009,16430.73041,16651.91374,0.009892343656,164.7264533,0.00,"  81,150 ",,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Sep-12,2725.355462, d==15 and m==9 and y==2012? 2725.35546233546 :,,9-Nov-19,0.0699111276, d==9 and m==11 and y==2019? 0.0699111276025562 :
1/27/2009,2009,16430.73041,16629.79541,0.005120157772,85.14717621,0.00,"  101,800 ",,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Oct-12,2725.355462, d==15 and m==10 and y==2012? 2725.35546233546 :,,16-Nov-19,0.06888558648, d==16 and m==11 and y==2019? 0.0688855864770151 :
1/28/2009,2009,16430.73041,16607.67708,0.005120157772,85.03392685,0.00,"  101,800 ",,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Nov-12,2657.336478, d==15 and m==11 and y==2012? 2657.33647784477 :,,23-Nov-19,0.06786004535, d==23 and m==11 and y==2019? 0.0678600453514739 :
1/29/2009,2009,16430.73041,16585.55874,0.005120157772,84.92067749,0.00,"  101,800 ",,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Dec-12,2693.230559, d==15 and m==12 and y==2012? 2693.23055902333 :,,30-Nov-19,0.06695414141, d==30 and m==11 and y==2019? 0.0669541414141414 :
1/30/2009,2009,16430.73041,16563.44041,0.006014942625,99.62814373,0.00,"  119,100 ",,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jan-13,2567.311688, d==15 and m==1 and y==2013? 2567.31168809632 :,,7-Dec-19,0.06663926499, d==7 and m==12 and y==2019? 0.0666392649903288 :
1/31/2009,2009,16430.73041,16541.32208,0.006014942625,99.49510323,0.00,"  119,100 ",,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-13,2010.506359, d==15 and m==2 and y==2013? 2010.50635911607 :,,14-Dec-19,0.06630325596, d==14 and m==12 and y==2019? 0.0663032559638943 :
2/1/2009,2009,16430.73041,16519.20374,0.006014942625,99.36206272,0.00,"  119,100 ",,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-13,1457.307857, d==15 and m==3 and y==2013? 1457.30785659375 :,,21-Dec-19,0.06596724694, d==21 and m==12 and y==2019? 0.0659672469374597 :
2/2/2009,2009,16430.73041,16497.08541,0.006313204243,104.1494696,0.00,"  137,700 ",,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-13,1189.035103, d==15 and m==4 and y==2013? 1189.03510277857 :,,28-Dec-19,0.06563123791, d==28 and m==12 and y==2019? 0.0656312379110251 :
2/3/2009,2009,16430.73041,16474.96708,0.006313204243,104.009832,0.00,"  137,700 ",,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-May-13,1119.034636, d==15 and m==5 and y==2013? 1119.03463573955 :,,4-Jan-20,0.06513292231, d==4 and m==1 and y==2020? 0.0651329223081883 :
2/4/2009,2009,16430.73041,16452.84874,0.006313204243,103.8701945,0.00,"  137,700 ",,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jun-13,930.7460368, d==15 and m==6 and y==2013? 930.746036826081 :,,11-Jan-20,0.06463688588, d==11 and m==1 and y==2020? 0.0646368858800774 :
2/5/2009,2009,16430.73041,16430.73041,0.006014942625,98.82990069,0.00,"  156,700 ",,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jul-13,48.36052818, d==15 and m==7 and y==2013? 48.3605281757209 :,,18-Jan-20,0.06414084945, d==18 and m==1 and y==2020? 0.0641408494519665 :
2/6/2009,2009,16430.73041,16430.73041,0.006014942625,98.82990069,0.00,"  156,700 ",,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Aug-13,45.48989768, d==15 and m==8 and y==2013? 45.4898976813005 :,,25-Jan-20,0.06364481302, d==25 and m==1 and y==2020? 0.0636448130238556 :
2/7/2009,2009,16430.73041,16430.73041,0.006014942625,98.82990069,0.00,"  156,700 ",,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Sep-13,43.19089565, d==15 and m==9 and y==2013? 43.1908956549566 :,,1-Feb-20,0.06318377273, d==1 and m==2 and y==2020? 0.0631837727272728 :
2/8/2009,2009,16430.73041,16430.73041,0.00666117613,109.4479892,0.00,"  176,150 ",,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Oct-13,39.92396759, d==15 and m==10 and y==2013? 39.9239675902243 :,,8-Feb-20,0.06243303178, d==8 and m==2 and y==2020? 0.062433031781227 :
2/9/2009,2009,16430.73041,16430.73041,0.00666117613,109.4479892,0.00,"  176,150 ",,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Nov-13,35.94046166, d==15 and m==11 and y==2013? 35.9404616591799 :,,15-Feb-20,0.06168229084, d==15 and m==2 and y==2020? 0.0616822908351811 :
2/10/2009,2009,15671.26781,16405.41499,0.00666117613,109.2793587,0.00,"  176,150 ",,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Dec-13,32.54758623, d==15 and m==12 and y==2013? 32.5475862305335 :,,22-Feb-20,0.06093154989, d==22 and m==2 and y==2020? 0.0609315498891353 :
2/11/2009,2009,15671.26781,16380.09957,0.006512045321,106.6679508,0.00,"  195,450 ",,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jan-14,29.18840182, d==15 and m==1 and y==2014? 29.188401821146 :,,29-Feb-20,0.06018080894, d==29 and m==2 and y==2020? 0.0601808089430895 :
2/12/2009,2009,15671.26781,16354.78415,0.006512045321,106.5030956,0.00,"  195,450 ",,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-14,26.04811477, d==15 and m==2 and y==2014? 26.0481147720191 :,,7-Mar-20,0.05987674357, d==7 and m==3 and y==2020? 0.0598767435728412 :
2/13/2009,2009,15671.26781,16329.46873,0.006512045321,106.3382404,0.00,"  195,450 ",,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-14,16.31686051, d==15 and m==3 and y==2014? 16.3168605075398 :,,14-Mar-20,0.05956505823, d==14 and m==3 and y==2020? 0.0595650582289607 :
2/14/2009,2009,15671.26781,16304.15331,0.007009148018,114.2782238,0.00,"  214,600 ",,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-14,8.898763915, d==15 and m==4 and y==2014? 8.89876391490287 :,,21-Mar-20,0.05925337289, d==21 and m==3 and y==2020? 0.0592533728850803 :
2/15/2009,2009,15671.26781,16278.83789,0.007009148018,114.1007843,0.00,"  214,600 ",,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-May-14,8.787513719, d==15 and m==5 and y==2014? 8.78751371891833 :,,28-Mar-20,0.05894168754, d==28 and m==3 and y==2020? 0.0589416875411998 :
2/16/2009,2009,15671.26781,16253.52247,0.007009148018,113.9233448,0.00,"  214,600 ",,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jun-14,8.604640607, d==15 and m==6 and y==2014? 8.60464060736008 :,,4-Apr-20,0.05864567286, d==4 and m==4 and y==2020? 0.0586456728603604 :
2/17/2009,2009,15671.26781,16228.20705,0.005865811816,95.19160866,0.00,"  232,750 ",,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jul-14,7.817625862, d==15 and m==7 and y==2014? 7.81762586226057 :,,11-Apr-20,0.05830544764, d==11 and m==4 and y==2020? 0.0583054476351352 :
2/18/2009,2009,15671.26781,16202.89163,0.005865811816,95.04311317,0.00,"  232,750 ",,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Aug-14,7.081541792, d==15 and m==8 and y==2014? 7.08154179155921 :,,18-Apr-20,0.05796522241, d==18 and m==4 and y==2020? 0.0579652224099099 :
2/19/2009,2009,15671.26781,16177.57621,0.005865811816,94.89461768,0.00,"  232,750 ",,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Sep-14,6.752255182, d==15 and m==9 and y==2014? 6.7522551823933 :,,25-Apr-20,0.05762499718, d==25 and m==4 and y==2020? 0.0576249971846847 :
2/20/2009,2009,15671.26781,16152.26079,0.006362914513,102.7754546,0.00,"  251,200 ",,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Oct-14,6.271722038, d==15 and m==10 and y==2014? 6.27172203804964 :,,2-May-20,0.05721974747, d==2 and m==5 and y==2020? 0.0572197474747475 :
2/21/2009,2009,15671.26781,16126.94537,0.006362914513,102.6143747,0.00,"  251,200 ",,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Nov-14,5.159374435, d==15 and m==11 and y==2014? 5.15937443536947 :,,9-May-20,0.0563079798, d==9 and m==5 and y==2020? 0.0563079797979798 :
2/22/2009,2009,15671.26781,16101.62995,0.006362914513,102.4532949,0.00,"  251,200 ",,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Dec-14,4.52574122, d==15 and m==12 and y==2014? 4.52574122013518 :,,16-May-20,0.05539621212, d==16 and m==5 and y==2020? 0.0553962121212121 :
2/23/2009,2009,15671.26781,16076.31453,0.00531899885,85.50989849,0.00,"  268,100 ",,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jan-15,2.850854835, d==15 and m==1 and y==2015? 2.85085483477115 :,,23-May-20,0.05448444444, d==23 and m==5 and y==2020? 0.0544844444444445 :
2/24/2009,2009,15671.26781,16050.99911,0.00531899885,85.3752458,0.00,"  268,100 ",,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-15,1.600698491, d==15 and m==2 and y==2015? 1.60069849097814 :,,30-May-20,0.05357267677, d==30 and m==5 and y==2020? 0.0535726767676768 :
2/25/2009,2009,15671.26781,16025.68369,0.00531899885,85.24059311,0.00,"  268,100 ",,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-15,1.536983797, d==15 and m==3 and y==2015? 1.53698379742013 :,,6-Jun-20,0.0530256363, d==6 and m==6 and y==2020? 0.0530256363025416 :
2/26/2009,2009,15671.26781,16000.36827,0.004772185884,76.35673159,0.00,"  283,800 ",,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-15,1.48006754, d==15 and m==4 and y==2015? 1.4800675401877 :,,13-Jun-20,0.05252209148, d==13 and m==6 and y==2020? 0.0525220914793092 :
2/27/2009,2009,15671.26781,15975.05285,0.004772185884,76.2359217,0.00,"  283,800 ",,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-May-15,1.470136117, d==15 and m==5 and y==2015? 1.47013611727757 :,,20-Jun-20,0.05201854666, d==20 and m==6 and y==2020? 0.0520185466560769 :
2/28/2009,2009,15671.26781,15949.73743,0.004772185884,76.11511181,0.00,"  283,800 ",,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jun-15,1.456223391, d==15 and m==6 and y==2015? 1.45622339117475 :,,27-Jun-20,0.05151500183, d==27 and m==6 and y==2020? 0.0515150018328446 :
3/1/2009,2009,15671.26781,15924.42201,0.005269288581,83.91037503,0.00,"  300,350 ",,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jul-15,1.322678653, d==15 and m==7 and y==2015? 1.32267865317551 :,,4-Jul-20,0.051296875, d==4 and m==7 and y==2020? 0.051296875 :
3/2/2009,2009,15671.26781,15899.10659,0.005269288581,83.77698078,0.00,"  300,350 ",,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Aug-15,1.136551346, d==15 and m==8 and y==2015? 1.13655134648048 :,,11-Jul-20,0.05132604167, d==11 and m==7 and y==2020? 0.0513260416666667 :
3/3/2009,2009,15671.26781,15873.79117,0.005269288581,83.64358652,0.00,"  300,350 ",,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Sep-15,0.9971260826, d==15 and m==9 and y==2015? 0.997126082644854 :,,18-Jul-20,0.05135520833, d==18 and m==7 and y==2020? 0.0513552083333333 :
3/4/2009,2009,15671.26781,15848.47575,0.005269288581,83.51019227,0.00,"  316,150 ",,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Oct-15,0.8887790787, d==15 and m==10 and y==2015? 0.888779078658476 :,,25-Jul-20,0.051384375, d==25 and m==7 and y==2020? 0.051384375 :
3/5/2009,2009,15671.26781,15823.16033,0.005269288581,83.37679802,0.00,"  316,150 ",,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Nov-15,0.8871881422, d==15 and m==11 and y==2015? 0.887188142202356 :,,1-Aug-20,0.051409375, d==1 and m==8 and y==2020? 0.051409375 :
3/6/2009,2009,15671.26781,15797.84491,0.005269288581,83.24340376,0.00,"  316,150 ",,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Dec-15,0.8787222816, d==15 and m==12 and y==2015? 0.878722281644594 :,,8-Aug-20,0.05134885417, d==8 and m==8 and y==2020? 0.0513488541666667 :
3/7/2009,2009,15671.26781,15772.52949,0.005517839929,87.03029298,0.00,"  332,900 ",,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jan-16,0.85512427, d==15 and m==1 and y==2016? 0.855124269986229 :,,15-Aug-20,0.05128833333, d==15 and m==8 and y==2020? 0.0512883333333333 :
3/8/2009,2009,15671.26781,15747.21407,0.005517839929,86.89060654,0.00,"  332,900 ",,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Feb-16,0.8473528185, d==15 and m==2 and y==2016? 0.847352818483432 :,,22-Aug-20,0.0512278125, d==22 and m==8 and y==2020? 0.0512278125 :
3/9/2009,2009,15671.26781,15721.89865,0.005517839929,86.7509201,0.00,"  332,900 ",,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-16,0.8334406274, d==15 and m==3 and y==2016? 0.833440627395937 :,,29-Aug-20,0.05116729167, d==29 and m==8 and y==2020? 0.0511672916666667 :
3/10/2009,2009,15671.26781,15696.58323,0.005219578311,81.92954536,0.00,"  349,400 ",,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Apr-16,0.7850695241, d==15 and m==4 and y==2016? 0.785069524089441 :,,5-Sep-20,0.05108742424, d==5 and m==9 and y==2020? 0.0510874242424243 :
3/11/2009,2009,15671.26781,15671.26781,0.005219578311,81.79740954,0.00,"  349,400 ",,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-May-16,0.7470642128, d==15 and m==5 and y==2016? 0.747064212787211 :,,12-Sep-20,0.05102484848, d==12 and m==9 and y==2020? 0.0510248484848485 :
3/12/2009,2009,15671.26781,15671.26781,0.005219578311,81.79740954,0.00,"  349,400 ",,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-Jun-16,0.678588928, d==15 and m==6 and y==2016? 0.678588928027975 :,,19-Sep-20,0.05096227273, d==19 and m==9 and y==2020? 0.0509622727272727 :
