Date,Market Price ($),Av. Electricity Price ($/KWh),Block Rewards (BTC),Transaction Fees (USD),Difficulty,Hash rate TH/s,Efficency ( TH/kW),Efficency ( J/TH ),Google Trends,Unique Wallets
1/1/2010,0.01,0.11,50,0.00,1.08,0.00,0.0001,0.1,0,127
1/4/2010,0.01,0.1100165,50,0.00,1.16,0.00,0.0001,0.1,0,198
1/7/2010,0.01,0.1100330025,50,0.00,1.18,0.00,0.0001,0.1,0,153
1/10/2010,0.01,0.1100495074,50,0.00,1.18,0.00,0.0001,0.1,0,159
1/13/2010,0.01,0.1100660149,50,0.00,1.22,0.00,0.0001,0.1,0,146
1/16/2010,0.01,0.1100825248,50,0.00,1.27,0.00,0.0001,0.1,0,131
1/19/2010,0.01,0.1100990371,50,0.00,1.31,0.00,0.0001,0.1,0,158
1/22/2010,0.01,0.110115552,50,0.00,1.31,0.00,0.0001,0.1,0,163
1/25/2010,0.01,0.1101320693,50,0.00,1.31,0.00,0.0001,0.1,0,201
1/28/2010,0.01,0.1101485891,50,0.00,1.33,0.00,0.0001,0.1,0,199
1/31/2010,0.01,0.1101651114,50,0.00,1.34,0.00,0.0001,0.1,0,193
2/3/2010,0.01,0.1101816362,50,0.00,1.34,0.00,0.0001,0.1,0,234
2/6/2010,0.01,0.1101981634,50,0.00,1.48,0.00,0.0001,0.1,0,224
2/9/2010,0.01,0.1102146932,50,0.00,1.68,0.00,0.0001,0.1,0,171
2/12/2010,0.01,0.1102312254,50,0.00,1.82,0.00,0.0001,0.1,0,235
2/15/2010,0.01,0.11024776,50,0.00,1.92,0.00,0.0001,0.1,0,202
2/18/2010,0.01,0.1102642972,50,0.00,2.22,0.00,0.0001,0.1,0,197
2/21/2010,0.01,0.1102808369,50,0.00,2.53,0.00,0.0001,0.1,0,266
2/24/2010,0.01,0.110297379,50,0.00,2.71,0.00,0.0001,0.1,0,158
2/27/2010,0.01,0.1103139236,50,0.00,3.24,0.00,0.0001,0.1,0,159
3/2/2010,0.01,0.1103304707,50,0.00,3.78,0.00,0.0001,0.1,0,157
3/5/2010,0.01,0.1103470202,50,0.00,3.78,0.00,0.0001,0.1,0,182
3/8/2010,0.01,0.1103635723,50,0.00,3.89,0.00,0.0001,0.1,0,148
3/11/2010,0.01,0.1103801268,50,0.00,4.21,0.00,0.001,1,0,123
3/15/2010,0.01,0.1103966839,50,0.00,4.53,0.00,0.001,1,0,143
3/18/2010,0.01,0.1104132434,50,0.00,4.53,0.00,0.001,1,0,148
3/21/2010,0.01,0.1104298053,50,0.00,4.53,0.00,0.001,1,0,187
3/24/2010,0.01,0.1104463698,50,0.00,4.54,0.00,0.001,1,0,180
3/27/2010,0.01,0.1104629368,50,0.00,4.56,0.00,0.001,1,0,183
3/30/2010,0.01,0.1104795062,50,0.00,4.57,0.00,0.001,1,0,218
4/2/2010,0.01,0.1104960781,50,0.00,4.78,0.00,0.001,1,0.5,159
4/5/2010,0.01,0.1105126525,50,0.00,5.43,0.00,0.001,1,0.5,181
4/8/2010,0.01,0.1105292294,50,0.00,6.09,0.00,0.001,1,0.5,196
4/11/2010,0.01,0.1105458088,50,0.00,6.09,0.00,0.001,1,0.5,261
4/14/2010,0.01,0.1105623907,50,0.00,6.58,0.00,0.001,1,0.5,221
