ds,y
9/17/2014,457.33
9/18/2014,424.44
9/19/2014,394.80
9/20/2014,408.90
9/21/2014,398.82
9/22/2014,402.15
9/23/2014,435.79
9/24/2014,423.20
9/25/2014,411.57
9/26/2014,404.42
9/27/2014,399.52
9/28/2014,377.18
9/29/2014,375.47
9/30/2014,386.94
10/1/2014,383.61
10/2/2014,375.07
10/3/2014,359.51
10/4/2014,328.87
10/5/2014,320.51
10/6/2014,330.08
10/7/2014,336.19
10/8/2014,352.94
10/9/2014,365.03
10/10/2014,361.56
10/11/2014,362.30
10/12/2014,378.55
10/13/2014,390.41
10/14/2014,400.87
10/15/2014,394.77
10/16/2014,382.56
10/17/2014,383.76
10/18/2014,391.44
10/19/2014,389.55
10/20/2014,382.85
10/21/2014,386.48
10/22/2014,383.16
10/23/2014,358.42
10/24/2014,358.35
10/25/2014,347.27
10/26/2014,354.70
10/27/2014,352.99
10/28/2014,357.62
10/29/2014,335.59
10/30/2014,345.30
10/31/2014,338.32
11/1/2014,325.75
11/2/2014,325.89
11/3/2014,327.55
11/4/2014,330.49
11/5/2014,339.49
11/6/2014,349.29
11/7/2014,342.42
11/8/2014,345.49
11/9/2014,363.26
11/10/2014,366.92
11/11/2014,367.70
11/12/2014,423.56
11/13/2014,420.73
11/14/2014,397.82
11/15/2014,376.13
11/16/2014,387.88
11/17/2014,387.41
11/18/2014,375.20
11/19/2014,380.55
11/20/2014,357.84
11/21/2014,350.85
11/22/2014,352.92
11/23/2014,367.57
11/24/2014,376.90
11/25/2014,375.35
11/26/2014,368.37
11/27/2014,369.67
11/28/2014,376.45
11/29/2014,375.49
11/30/2014,378.05
12/1/2014,379.24
12/2/2014,381.32
12/3/2014,375.01
12/4/2014,369.60
12/5/2014,376.85
12/6/2014,374.79
12/7/2014,375.10
12/8/2014,361.91
12/9/2014,352.22
12/10/2014,346.36
12/11/2014,350.51
12/12/2014,352.54
12/13/2014,347.38
12/14/2014,351.63
12/15/2014,345.35
12/16/2014,327.06
12/17/2014,319.78
12/18/2014,311.40
12/19/2014,317.84
12/20/2014,329.96
12/21/2014,320.84
12/22/2014,331.89
12/23/2014,334.57
12/24/2014,322.53
12/25/2014,319.01
12/26/2014,327.92
12/27/2014,315.86
12/28/2014,317.24
12/29/2014,312.67
12/30/2014,310.74
12/31/2014,320.19
1/1/2015,314.25
1/2/2015,315.03
1/3/2015,281.08
1/4/2015,264.20
1/5/2015,274.47
1/6/2015,286.19
1/7/2015,294.34
1/8/2015,283.35
1/9/2015,290.41
1/10/2015,274.80
1/11/2015,265.66
1/12/2015,267.80
1/13/2015,225.86
1/14/2015,178.10
1/15/2015,209.84
1/16/2015,208.10
1/17/2015,199.26
1/18/2015,210.34
1/19/2015,214.86
1/20/2015,211.32
1/21/2015,226.90
1/22/2015,233.41
1/23/2015,232.88
1/24/2015,247.85
1/25/2015,253.72
1/26/2015,273.47
1/27/2015,263.48
1/28/2015,233.91
1/29/2015,233.51
1/30/2015,226.43
1/31/2015,217.46
2/1/2015,226.97
2/2/2015,238.23
2/3/2015,227.27
2/4/2015,226.85
2/5/2015,217.11
2/6/2015,222.27
2/7/2015,227.75
2/8/2015,223.41
2/9/2015,220.11
2/10/2015,219.84
2/11/2015,219.18
2/12/2015,221.76
2/13/2015,235.43
2/14/2015,257.32
2/15/2015,234.82
2/16/2015,233.84
2/17/2015,243.61
2/18/2015,236.33
2/19/2015,240.28
2/20/2015,243.78
2/21/2015,244.53
2/22/2015,235.98
2/23/2015,238.89
2/24/2015,238.74
2/25/2015,237.47
2/26/2015,236.43
2/27/2015,253.83
2/28/2015,254.26
3/1/2015,260.20
3/2/2015,275.67
3/3/2015,281.70
3/4/2015,273.09
3/5/2015,276.18
3/6/2015,272.72
3/7/2015,276.26
3/8/2015,274.35
3/9/2015,289.61
3/10/2015,291.76
3/11/2015,296.38
3/12/2015,294.35
3/13/2015,285.34
3/14/2015,281.89
3/15/2015,286.39
3/16/2015,290.59
3/17/2015,285.51
3/18/2015,256.30
3/19/2015,260.93
3/20/2015,261.75
3/21/2015,260.02
3/22/2015,267.96
3/23/2015,266.74
3/24/2015,245.60
3/25/2015,246.20
3/26/2015,248.53
3/27/2015,247.03
3/28/2015,252.80
3/29/2015,242.71
3/30/2015,247.53
3/31/2015,244.22
4/1/2015,247.27
